,Name,Zomato Rating,Zomato Review Count,Address,Longitude,Latitude,City Name,Google Rating,Yelp Rating,Yelp Review Count,Composite Rating,Total Review count
0,Home Slice Pizza,4.9,2570,"1415 S Congress Avenue, Austin 78704",-97.7496722222,30.2493111111,"Austin, TX",4.6,4.5,3005,4.666666666666667,5575
1,Torchy's Tacos,4.5,900,2801 Guadalupe Street 78705,-97.7418888889,30.2936583333,"Austin, TX",4.9,4.5,1630,4.633333333333334,2530
2,Franklin Barbecue,4.6,1118,"900 East 11th Street, Austin 78702",-97.7314611111,30.2700861111,"Austin, TX",4.7,4.5,3689,4.6000000000000005,4807
3,Gourdough's,4.6,879,"1503 S 1st Street, Austin 78704",-97.7550722222,30.2494583333,"Austin, TX",4.7,4.5,2823,4.6000000000000005,3702
4,Moonshine Patio Bar & Grill,4.7,2022,"303 Red River Street, Austin 78701",-97.7379444444,30.2641944444,"Austin, TX",4.5,4.5,3135,4.566666666666666,5157
5,Little Deli & Pizzeria,4.4,398,"7101 A Woodrow Avenue, Austin 78757",-97.7256166667,30.3427000000,"Austin, TX",4.8,4.5,997,4.566666666666666,1395
6,Torchy's Tacos,4.3,566,"2809 S 1st Street, Austin 78704",-97.7628472222,30.2368388889,"Austin, TX",4.9,4.5,1630,4.566666666666666,2196
7,Mandola's Italian Market,4.4,1153,"The Triangle Austin, 4700 W Guadalupe Street, Suite 12, Austin 78751",-97.7332374000,30.3155528000,"Austin, TX",4.3,5.0,280,4.566666666666666,1433
8,Torchy's Tacos,4.2,335,"4211 Old Spicewood Springs Road, Austin 78731",-97.7563027778,30.3708583333,"Austin, TX",4.9,4.5,1630,4.533333333333334,1965
9,Uchi,4.5,1654,"801 S Lamar Boulevard, Austin 78704",-97.7598277778,30.2577277778,"Austin, TX",4.6,4.5,1946,4.533333333333333,3600
10,Texas Honey Ham Company,4.2,313,"3736 Bee Cave Road, Suite 6A, Austin 78746",-97.8072500000,30.2807777778,"Austin, TX",4.8,4.5,203,4.5,516
11,Noble Sandwich Co.,4.4,502,"12233 Ranch Road 620 N, Suite 105, Austin 78750",-97.8152250000,30.4615833333,"Austin, TX",4.6,4.5,3689,4.5,4191
12,Rudy's Country Store and Bar-B-Q,4.5,1348,"11570 Research Boulevard, Austin 78759",-97.7467805556,30.4141972222,"Austin, TX",4.5,4.5,988,4.5,2336
13,Jack Allen's Kitchen,4.8,1040,"7720 Highway 71 W, Austin 78735",-97.8827666667,30.2437694444,"Austin, TX",4.5,4.0,107,4.433333333333334,1147
14,Taste of Ethiopia,4.2,318,"1100 Grand Avenue Pkwy, Suite 100, Pflugerville 78660",-97.6508944444,30.4581388889,"Austin, TX",4.6,4.5,133,4.433333333333334,451
15,Eddie V's Prime Seafood,4.2,655,"301 E 5th Street, Austin 78701",-97.7406000000,30.2662305556,"Austin, TX",4.6,4.5,886,4.433333333333334,1541
16,Uchiko,4.1,526,"4200 N Lamar Boulevard, Suite 140 78756",-97.7398138889,30.3108333333,"Austin, TX",4.7,4.5,1459,4.433333333333334,1985
17,Hopdoddy Burger Bar,4.7,1461,"1400 S Congress Avenue, Austin 78704",-97.7501222000,30.2497657000,"Austin, TX",4.6,4.0,4095,4.433333333333334,5556
18,Cabo Bob's Burritos,4.1,340,"500 E Ben White Boulevard, Suite D 100, Austin 78704",-97.7569416667,30.2209611111,"Austin, TX",4.6,4.5,643,4.3999999999999995,983
19,Rudy's Country Store and Bar-B-Q,4.2,602,"2451 S Capital Of Texas Highway, Austin 78746",-97.8157055556,30.2635388889,"Austin, TX",4.5,4.5,988,4.3999999999999995,1590
20,Bouldin Creek Cafe,4.1,393,"1900 S 1st Street, Austin 78704",-97.7565388889,30.2465361111,"Austin, TX",4.6,4.5,1714,4.3999999999999995,2107
21,Rudy's Country Store and Bar-B-Q,4.1,310,"7709 FM 620 N, Austin 78726",-97.8276552000,30.4539081000,"Austin, TX",4.5,4.5,988,4.366666666666666,1298
22,Titaya's Thai Cuisine,4.6,755,"5501 N Lamar Boulevard, Suite C101, Austin 78751",-97.7278440000,30.3229490000,"Austin, TX",4.5,4.0,1349,4.366666666666666,2104
23,Midori Sushi,4.2,401,"13435 US 183 N, Suite 301, Austin 78750",-97.7877500000,30.4487277778,"Austin, TX",,4.5,824,4.35,1225
24,Cafe Java,4.2,441,"11900 Metric Boulevard, Suite K 78758",-97.7041027778,30.4000527778,"Austin, TX",,4.5,843,4.35,1284
25,La Barbecue,4.0,269,"1906 E Cesar Chavez Street, Austin 78702",-97.7239190000,30.2571410000,"Austin, TX",4.5,4.5,1615,4.333333333333333,1884
26,Amy's Ice Creams,4.4,671,"3500 Guadalupe Street, Austin 78705",-97.7393194444,30.3013416667,"Austin, TX",4.5,4.0,419,4.3,1090
27,Blue Dahlia Bistro,4.3,615,"1115 E 11th Street, Austin 78702",-97.7287138889,30.2689750000,"Austin, TX",4.6,4.0,1152,4.3,1767
28,Yanagi Restaurant & Sushi Bar,4.1,268,"4404 W William Cannon Drive, Suite B, Austin 78749",-97.8397138889,30.2236027778,"Austin, TX",,4.5,538,4.3,806
29,Opie's Barbecue,4.1,223,"9504 State Hwy 71 E, Austin 78669",-98.1600950000,30.4620660000,"Austin, TX",,4.5,3689,4.3,3912
30,South Congress Café,4.5,1180,"1600 S Congress Avenue, Austin 78704",-97.7504972222,30.2478416667,"Austin, TX",4.4,4.0,2033,4.3,3213
31,Tacodeli,4.3,414,"12001 N Burnet Road, Austin 78758",-97.7134388889,30.4077805556,"Austin, TX",4.6,4.0,828,4.3,1242
32,Tomodachi Sushi,4.1,538,"4101 W Parmer Lane, Suite E, Austin 78727",-97.7168416667,30.4255888889,"Austin, TX",,4.5,643,4.3,1181
33,Enoteca Vespaio,4.4,1285,"1610 S Congress Avenue, Austin 78704",-97.7507250000,30.2471972222,"Austin, TX",4.5,4.0,693,4.3,1978
34,Perla's Seafood and Oyster Bar,4.1,513,"1400 S Congress Avenue, Austin 78704",-97.7500470000,30.2499840000,"Austin, TX",4.3,4.5,919,4.3,1432
35,Roaring Fork - Intercontinental,4.1,456,"701 Congress Avenue, Austin 78701",-97.7424000000,30.2690472222,"Austin, TX",4.2,4.5,886,4.266666666666667,1342
36,Frank & Angie's Pizzeria,4.1,540,"508 W Avenue, Austin 78701",-97.7509305556,30.2700250000,"Austin, TX",4.2,4.5,3005,4.266666666666667,3545
37,Tacodeli,4.2,400,"1500 Spyglass Drive, Austin 78746",-97.7876398000,30.2584411000,"Austin, TX",4.6,4.0,828,4.266666666666667,1228
38,Eastside Cafe,4.4,978,2113 Manor Road 78722,-97.7196055556,30.2841694444,"Austin, TX",4.4,4.0,865,4.266666666666667,1843
39,Whole Foods Market,4.2,649,"525 N Lamar Boulevard, Austin 78703",-97.7538611111,30.2704305556,"Austin, TX",4.6,4.0,1109,4.266666666666667,1758
40,Chuy's,4.4,949,"11680 N Research Boulevard, Austin 78759",-97.7475361111,30.4185916667,"Austin, TX",4.4,4.0,816,4.266666666666667,1765
41,Chuy's,4.3,854,"10520 N Lamar Boulevard, Austin 78753",-97.6905750000,30.3751690000,"Austin, TX",4.4,4.0,816,4.233333333333333,1670
42,Mozart's Coffee Roasters,4.2,370,"3825 Lake Austin Boulevard, Suite B, Austin 78703",-97.7840194444,30.2955333333,"Austin, TX",4.5,4.0,1059,4.233333333333333,1429
43,Fonda San Miguel,4.3,1211,"2330 W North Loop Boulevard, Austin 78756",-97.7434654000,30.3255041000,"Austin, TX",4.4,4.0,683,4.233333333333333,1894
44,Easy Tiger,4.1,321,"709 E 6th Street, Austin 78701",-97.7356194444,30.2659972222,"Austin, TX",4.6,4.0,1323,4.233333333333333,1644
45,888 Pan Asian Restaurant,4.2,428,"2400 E Oltorf Street, Suite 1A, Austin 78741",-97.7300333333,30.2295027778,"Austin, TX",4.5,4.0,1203,4.233333333333333,1631
46,Tarka Indian Kitchen,4.3,467,"5207 Brodie Lane, Austin 78745",-97.8175361111,30.2310555556,"Austin, TX",4.3,4.0,746,4.2,1213
47,Evangeline Cafe,4.4,695,"8106 Brodie Lane, Austin 78745",-97.8386083333,30.2020222222,"Austin, TX",,4.0,604,4.2,1299
48,Mother's Cafe & Garden,4.2,605,"4215 Duval Street, Austin 78751",-97.7260805556,30.3042361111,"Austin, TX",4.4,4.0,807,4.2,1412
49,Musashino Sushi Dokoro,4.2,532,"2905 San Gabriel St,Suite 200, Austin 78705",-97.7473070000,30.2978420000,"Austin, TX",4.4,4.0,566,4.2,1098
50,Phara's,4.3,324,"111 North Loop Boulevard E, Austin 78751",-97.7219779000,30.3174230000,"Austin, TX",4.3,4.0,320,4.2,644
51,Banger's Sausage House & Beer Garden,4.1,352,"79 & 81 Rainey Street, Austin 78701",-97.7382949000,30.2592190000,"Austin, TX",4.5,4.0,1689,4.2,2041
52,Fogo de Chão,4.1,769,"309 E 3rd Street, Austin 78701",-97.7406527778,30.2643555556,"Austin, TX",4.5,4.0,640,4.2,1409
53,Mighty Fine Burgers,4.1,1096,"10515 Mo-Pac Expressway N, Suite B 205, Austin 78759",-97.7329416667,30.3897694444,"Austin, TX",4.4,4.0,328,4.166666666666667,1424
54,North Italia,4.0,596,"11506 Century Oaks Terrace, Suite 124, Austin 78758",-97.7257000000,30.4021250000,"Austin, TX",4.5,4.0,977,4.166666666666667,1573
